"filename", "language", "Python", "YAML", "Django txt", "Docker", "Ini", "Shell Script", "Django HTML", "Markdown", "JSON", "JavaScript", "CSS", "SCSS", "TypeScript", "XML", "Vue", "Properties", "comment", "blank", "total"
"/home/mahdi/Desktop/finwise/finwise/backend/users/urls.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 12
"/home/mahdi/Desktop/finwise/finwise/backend/users/utils/util.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 17
"/home/mahdi/Desktop/finwise/finwise/backend/users/views.py", "Python", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 55
"/home/mahdi/Desktop/finwise/finwise/backend/websocket/ApiGet.py", "Python", 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 192
"/home/mahdi/Desktop/finwise/finwise/backend/websocket/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/mahdi/Desktop/finwise/finwise/backend/websocket/admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/mahdi/Desktop/finwise/finwise/backend/websocket/apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/home/mahdi/Desktop/finwise/finwise/backend/websocket/consumers.py", "Python", 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 47, 351
"/home/mahdi/Desktop/finwise/finwise/backend/websocket/models.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/mahdi/Desktop/finwise/finwise/backend/websocket/randomGen.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 7
"/home/mahdi/Desktop/finwise/finwise/backend/websocket/tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/mahdi/Desktop/finwise/finwise/backend/websocket/urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/mahdi/Desktop/finwise/finwise/backend/websocket/views.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/mahdi/Desktop/finwise/finwise/docker-compose.dev.yml", "YAML", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 136
"/home/mahdi/Desktop/finwise/finwise/docker-compose.yml", "YAML", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 71
"/home/mahdi/Desktop/finwise/finwise/frontend/.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 1, 18
"/home/mahdi/Desktop/finwise/finwise/frontend/.ultra.cache.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/mahdi/Desktop/finwise/finwise/frontend/Dockerfile", "Docker", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 32
"/home/mahdi/Desktop/finwise/finwise/frontend/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/home/mahdi/Desktop/finwise/finwise/frontend/babel.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mahdi/Desktop/finwise/finwise/frontend/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 1, 99
"/home/mahdi/Desktop/finwise/finwise/frontend/postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/mahdi/Desktop/finwise/finwise/frontend/public/charting_library/charting_library.min.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1253, 0, 0, 0, 79, 3, 1335
"/home/mahdi/Desktop/finwise/finwise/frontend/public/charting_library/charting_library.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
